SELECTOR	LEADING_ZERO	SIGNATURE
ffffffff	0	deposit(uint256)
87008300	0	deposit_0cI(uint256)
8c4d0000	0	deposit_3W3(uint256)
b400a400	0	deposit_60E(uint256)
960000e9	0	deposit_bcB(uint256)
00b3e300	1	deposit_bII(uint256)
7d009f00	0	deposit_iUv(uint256)
008c1e00	1	deposit_e$T(uint256)
0000fee6	2	deposit_ps2(uint256)
00bf0043	1	deposit_unh(uint256)
630000a6	0	deposit_lXM(uint256)
00b8003c	1	deposit_kem(uint256)
43009800	0	deposit_mwr(uint256)
005df100	1	deposit_ov2(uint256)
c7000051	0	deposit_sIs(uint256)
35000d00	0	deposit_vUB(uint256)
0000f3c3	2	deposit_w$M(uint256)
b1004200	0	deposit_ykz(uint256)
0000a5e2	2	deposit_z3l(uint256)
40000048	0	deposit_zkl(uint256)
